id,Departamento,Latitud,Longitud
0,Amazonas ,-4.209842, -69.945889
1,Antioquia ,6.245584, -75.574227
2,Arauca  ,7.072454, -70.758036
3,Atlántico ,10.712439, -74.983008
4,Bolívar ,10.389897, -75.491532
5,Boyacá ,5.542027, -73.358645
6,Caldas ,5.066300, -75.520725
7,Caquetá ,1.615265, -75.609250
8,Casanare ,5.334077, -72.398469
9,Cauca ,2.447094, -76.615556
10,Cesar ,10.474970, -73.252757
11,Chocó ,5.695974, -76.656537
12,Córdoba ,8.747144, -75.882486
13,Cundinamarca ,4.642124, -74.111252
14,Guainía ,3.867869, -67.925762
15,Guaviare ,2.568285, -72.639612
16,Huila ,2.932182, -75.280003
17,La Guajira ,11.537937, -72.913111
18,Magdalena ,11.235402, -74.194962
19,Meta ,4.135982, -73.621950
20,Nariño ,1.213107, -77.279197
21,Norte de Santander ,7.908653, -72.504579
22,Putumayo ,1.151654, -76.648523
23,Quindio ,4.540837, -75.673962
24,Risaralda ,4.802298, -75.727027
25,San Andres y Providencia ,12.553317, -81.717401
26,Santander ,7.120434, -73.119221
27,Sucre ,9.300968, -75.395462
28,Tolima ,4.437781, -75.194563
29,Valle del Cauca ,3.414520, -76.528520
30,Vaupés ,1.256271, -70.231418
31,Vichada ,6.189803, -67.490222
