LocationID,Borough,Zone,service_zone,search,latitude,longitude
1,EWR,Newark Airport,EWR,"Newark Airport,  New York NYC",40.690657,-74.177543
2,Queens,Jamaica Bay,Boro Zone,"Jamaica Bay,  New York NYC",40.6039936,-73.8354124
3,Bronx,Allerton/Pelham Gardens,Boro Zone,"Allerton/Pelham Gardens,  New York NYC",40.862917,-73.843405
4,Manhattan,Alphabet City,Yellow Zone,"Alphabet City,  New York NYC",40.7251022,-73.9795833
5,Staten Island,Arden Heights,Boro Zone,"Arden Heights,  New York NYC",40.55662,-74.176278
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,"Arrochar/Fort Wadsworth,  New York NYC",40.604432,-74.058974
7,Queens,Astoria,Boro Zone,"Astoria,  New York NYC",40.7720145,-73.9302673
8,Queens,Astoria Park,Boro Zone,"Astoria Park,  New York NYC",40.7788277,-73.92262649
9,Queens,Auburndale,Boro Zone,"Auburndale,  New York NYC",40.7614516,-73.7897239
10,Queens,Baisley Park,Boro Zone,"Baisley Park,  New York NYC",40.680896,-73.787632
11,Brooklyn,Bath Beach,Boro Zone,"Bath Beach,  New York NYC",40.6018495,-74.000501
12,Manhattan,Battery Park,Yellow Zone,"Battery Park,  New York NYC",40.70282775,-74.01581851
13,Manhattan,Battery Park City,Yellow Zone,"Battery Park City,  New York NYC",40.7110166,-74.0169369
14,Brooklyn,Bay Ridge,Boro Zone,"Bay Ridge,  New York NYC",40.6339929,-74.0145841
15,Queens,Bay Terrace/Fort Totten,Boro Zone,"Bay Terrace/Fort Totten,  New York NYC",40.792897,-73.776299
16,Queens,Bayside,Boro Zone,"Bayside,  New York NYC",40.7684351,-73.7770774
17,Brooklyn,Bedford,Boro Zone,"Bedford,  New York NYC",40.7200298,-73.9555273
18,Bronx,Bedford Park,Boro Zone,"Bedford Park,  New York NYC",40.8700999,-73.8856912
19,Queens,Bellerose,Boro Zone,"Bellerose,  New York NYC",40.7327778,-73.7177778
20,Bronx,Belmont,Boro Zone,"Belmont,  New York NYC",40.8552778,-73.8863889
21,Brooklyn,Bensonhurst East,Boro Zone,"Bensonhurst East,  New York NYC",40.6049772,-73.9934061
22,Brooklyn,Bensonhurst West,Boro Zone,"Bensonhurst West,  New York NYC",40.6049772,-73.9934061
